"sampleID"	"pop"	"super_pop"	"gender"	"V5"	"V6"
"NA12889"	"CEU"	"EUR"	"male"	NA	NA
"NA12154"	"CEU"	"EUR"	"male"	NA	NA
"NA12842"	"CEU"	"EUR"	"male"	NA	NA
"NA12043"	"CEU"	"EUR"	"male"	NA	NA
"NA07051"	"CEU"	"EUR"	"male"	NA	NA
"NA12489"	"CEU"	"EUR"	"female"	NA	NA
"NA11881"	"CEU"	"EUR"	"male"	NA	NA
"NA12748"	"CEU"	"EUR"	"male"	NA	NA
"NA12873"	"CEU"	"EUR"	"female"	NA	NA
"NA12287"	"CEU"	"EUR"	"female"	NA	NA
"NA07056"	"CEU"	"EUR"	"female"	NA	NA
"NA12813"	"CEU"	"EUR"	"female"	NA	NA
"NA12760"	"CEU"	"EUR"	"male"	NA	NA
"NA12761"	"CEU"	"EUR"	"female"	NA	NA
"NA12874"	"CEU"	"EUR"	"male"	NA	NA
"NA11893"	"CEU"	"EUR"	"male"	NA	NA
"NA12275"	"CEU"	"EUR"	"female"	NA	NA
"NA12044"	"CEU"	"EUR"	"female"	NA	NA
"NA12872"	"CEU"	"EUR"	"male"	NA	NA
"NA12776"	"CEU"	"EUR"	"female"	NA	NA
"NA12058"	"CEU"	"EUR"	"female"	NA	NA
"NA12718"	"CEU"	"EUR"	"female"	NA	NA
"NA12750"	"CEU"	"EUR"	"male"	NA	NA
"NA12843"	"CEU"	"EUR"	"female"	NA	NA
"NA12045"	"CEU"	"EUR"	"male"	NA	NA
"NA12546"	"CEU"	"EUR"	"male"	NA	NA
"NA12829"	"CEU"	"EUR"	"male"	NA	NA
"NA12716"	"CEU"	"EUR"	"male"	NA	NA
"NA07347"	"CEU"	"EUR"	"male"	NA	NA
"NA06986"	"CEU"	"EUR"	"male"	NA	NA
"NA12830"	"CEU"	"EUR"	"female"	NA	NA
"NA06989"	"CEU"	"EUR"	"female"	NA	NA
"NA12003"	"CEU"	"EUR"	"male"	NA	NA
"NA12272"	"CEU"	"EUR"	"male"	NA	NA
"NA12340"	"CEU"	"EUR"	"male"	NA	NA
