"sampleID"	"longitude"	"latitude"	"test"	"region"	"population"
"HGDP00001"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00003"	66.5	30.5	TRUE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00005"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00007"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00009"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00011"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00013"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00015"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00017"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00019"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00021"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00023"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00025"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00027"	66.5	30.5	TRUE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00029"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00031"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00033"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00035"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00037"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00039"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00041"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00043"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00045"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00047"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00049"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Brahui"
"HGDP00052"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00054"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00056"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00057"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00058"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00060"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00062"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00064"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
"HGDP00066"	66.5	30.5	FALSE	"CENTRAL_SOUTH_ASIA"	"Balochi"
