LD1	LD2	sampleID
-0.7323832	4.6637383	HGDP01201
-3.7983007	4.4772325	HGDP00479
-0.8206163	4.4118905	HGDP01408
-7.162966	1.5599595	HGDP00471
-0.66126436	4.0155306	HGDP01411
-0.856727	4.588567	HGDP00937
0.17474255	-5.6701097	HGDP01189
-3.1102965	3.7385104	HGDP01094
-3.5051398	4.3891234	HGDP00469
-3.7962024	4.5416017	HGDP00475
4.60843	3.4234645	HGDP01368
-3.6558945	4.371108	HGDP00473
-0.5024523	4.603791	HGDP01405
-3.5569735	4.3359227	HGDP00470
-3.4186351	4.150699	HGDP00458
-0.8255181	4.5530305	HGDP00904
-0.74950594	4.4592085	HGDP01200
-3.6200302	4.516395	HGDP00452
-3.5545313	4.12586	HGDP00459
-0.65451705	5.639665	HGDP00914
-0.6664848	4.4232655	HGDP00942
-0.8727071	4.75798	HGDP01031
-0.76709956	4.545304	HGDP00944
-0.802064	4.3654275	HGDP01406
2.3327441	-4.3260355	HGDP01216
-0.81540376	4.951343	HGDP00907
-0.5951747	4.8658776	HGDP01202
-0.77726305	4.836701	HGDP00908
-0.871979	4.5643964	HGDP00940
-0.72400266	4.7654424	HGDP00911
-3.6377184	4.3829474	HGDP00464
-0.75481087	4.596889	HGDP00929
-3.838586	4.6345253	HGDP00986
1.769127	-3.962639	HGDP01244
-0.5867186	4.823911	HGDP00941
-0.74308676	4.326072	HGDP00934
-8.310173	1.0215868	HGDP00462
-3.2335336	4.1112456	HGDP00453
-0.838915	4.75503	HGDP00935
-0.72461593	4.353419	HGDP00943
-0.58742464	4.9570546	HGDP01412
2.8236787	-2.6731515	HGDP01243
2.481187	-1.5289302	HGDP01299
9.501477	-2.7696404	HGDP00845
-1.4797372	2.9413698	HGDP00994
-0.7548831	4.680489	HGDP01283
-0.8400152	3.846034	HGDP00993
-0.8983394	4.7671676	HGDP00918
-3.6219008	4.318468	HGDP00985
-0.62740797	5.323982	HGDP00910
2.1154032	0.2184859	HGDP00135
2.4621782	0.35366672	HGDP00214
-0.40776068	-1.9985396	HGDP00655
0.7466225	-5.2225914	HGDP01096
-3.6086128	4.300552	HGDP00472
-7.7311134	1.2647918	HGDP00450
-0.7878284	4.4422183	HGDP00905
2.5279858	-1.1048342	HGDP01298
-0.373071	-5.3433433	HGDP00715
-0.4850787	-5.166829	HGDP00711
2.6483858	-1.5440524	HGDP00103
2.3844657	-0.32241207	HGDP00359
-0.17815922	-2.3028183	HGDP00788
2.2026556	0.15800197	HGDP00136
-0.26658082	-1.6810334	HGDP00541
-0.7157298	5.649872	HGDP01285
-0.14623058	-2.431348	HGDP00491
2.7001045	-1.8163774	HGDP00105
2.3238223	-1.2531226	HGDP00127
-0.3574588	-1.6630114	HGDP00547
-8.437294	0.97422177	HGDP00463
4.9903917	-1.3591155	HGDP00703
1.8715401	1.061271	HGDP00580
0.11197215	0.30218136	HGDP00130
2.332394	-0.40692288	HGDP00167
1.0601699	0.9114511	HGDP00576
2.1517587	0.91490597	HGDP01385
-0.20007287	-2.4704535	HGDP00662
2.8182337	-2.5543475	HGDP00948
1.9786781	0.0037918785	HGDP00005
2.249708	-0.036058355	HGDP00163
2.4554226	-0.694868	HGDP00346
1.6870612	1.8254272	HGDP00609
1.1673506	3.6177793	HGDP01257
1.2462311	1.5983354	HGDP00608
-0.14036742	-2.1941578	HGDP00544
-0.121029824	-5.5711756	HGDP00714
0.56973946	0.07757599	HGDP00057
2.5290532	-0.16297965	HGDP00213
1.8468332	-0.03332453	HGDP00165
2.34026	-1.0958234	HGDP01300
-0.5975347	4.416095	HGDP00931
-3.4959671	4.2097616	HGDP00466
4.06536	0.2374428	HGDP00279
3.1110175	-2.924935	HGDP00945
2.3524263	0.142855	HGDP00056
7.109613	-2.3524954	HGDP01050
3.920965	0.46152383	HGDP00288
1.7033588	1.3250339	HGDP00562
2.9825156	1.2563658	HGDP01396
7.9098873	-1.9686973	HGDP01009
2.3852186	1.1962734	HGDP01383
2.4519303	-0.28788716	HGDP00341
9.834375	-2.4963806	HGDP01013
-0.24531347	-1.6746422	HGDP00543
3.2060316	-3.4473035	HGDP00947
0.8696737	1.1677107	HGDP00723
-8.775613	1.0055434	HGDP00467
-0.30328128	-1.7968225	HGDP00545
1.3702612	2.4610484	HGDP00610
1.8440021	-0.010275176	HGDP00001
2.863598	0.135866	HGDP00218
-0.8131791	4.5730968	HGDP00933
6.892344	-1.9623524	HGDP00856
2.203193	0.04732282	HGDP00062
-3.4924724	4.213058	HGDP01086
7.7053914	-2.2455113	HGDP00710
-0.40845633	-6.0425982	HGDP01192
2.1587598	0.12630363	HGDP00009
-0.8183535	4.469055	HGDP00924
-0.24119648	-1.6962777	HGDP00550
-0.742884	4.6900325	HGDP00920
2.1015878	-4.6408486	HGDP01225
-0.7277394	4.519527	HGDP00925
-0.7933091	4.5334454	HGDP00938
-8.804177	0.789192	HGDP00478
-0.6868045	4.8534484	HGDP00939
0.99721503	3.177172	HGDP01256
1.1432829	1.0922691	HGDP00724
1.32399	1.8448893	HGDP00726
10.841172	-2.948011	HGDP00837
-0.3145698	-6.1107945	HGDP01190
-0.10779771	-1.5933491	HGDP00555
-7.1936646	1.2960467	HGDP01029
2.4327395	-1.0560131	HGDP00118
-7.8493857	1.059252	HGDP01081
-0.7091187	5.0229316	HGDP01415
-0.22806683	5.1045475	HGDP01418
7.227543	-2.1766481	HGDP01043
10.62459	-2.8336976	HGDP00843
-0.6069992	4.4945498	HGDP01419
-6.4745154	1.1985795	HGDP00992
5.4115386	-1.5591981	HGDP00877
-0.36244774	-6.0610747	HGDP00781
-0.83303595	4.624081	HGDP00926
1.3871287	-4.911777	HGDP00782
1.1393754	2.9946303	HGDP01255
-3.207169	3.9055707	HGDP00460
1.7318174	-4.239504	HGDP01245
6.861677	-2.056258	HGDP01037
-0.8045835	4.4775157	HGDP00930
0.7855632	-5.504452	HGDP00820
2.3151398	-3.595244	HGDP01214
4.491706	0.6922191	HGDP00319
1.6488088	-4.4859576	HGDP01186
-0.6512229	-5.842089	HGDP01310
0.76599574	-5.187671	HGDP00821
1.505873	-4.9224696	HGDP00777
-7.6787868	1.2505759	HGDP00984
-0.26675346	-6.3223166	HGDP01327
1.4300601	-5.300494	HGDP01099
-0.43784156	3.805372	HGDP01416
0.5401778	-5.815889	HGDP00972
-0.4300651	-5.821262	HGDP01313
0.14388809	-6.1980515	HGDP00813
1.2314558	-5.061952	HGDP00814
0.7592614	-5.326059	HGDP00971
1.9288796	-4.454034	HGDP01296
-0.28918353	-5.9309735	HGDP01330
0.47322556	-5.8958926	HGDP00812
2.4090967	-4.1184998	HGDP01213
1.4420494	-4.565987	HGDP01340
0.21101853	-5.991769	HGDP00811
-0.74422663	4.340363	HGDP01033
-3.349588	4.263781	HGDP01090
0.83367234	-5.1970897	HGDP01021
1.7556087	-4.801107	HGDP01289
1.1738609	-4.831348	HGDP01023
-0.6804386	4.4981427	HGDP00917
0.03860399	-5.760616	HGDP00776
0.6802569	-5.3639646	HGDP00774
1.1859944	-5.3295946	HGDP00815
1.1042492	-5.1408877	HGDP00779
0.04554227	-5.9755554	HGDP00818
0.8930555	-5.5135503	HGDP00784
0.07648316	-5.6871724	HGDP01318
0.26976326	-5.8227663	HGDP01100
1.8793898	-4.890726	HGDP01290
0.12493983	-5.982631	HGDP00975
-0.016353339	-6.0936217	HGDP00974
0.3157352	-5.603835	HGDP01196
1.456532	-5.038168	HGDP00786
1.8995836	-4.3971024	HGDP01181
2.0803623	-4.470512	HGDP01354
1.2545872	-4.956884	HGDP01294
